Unnamed: 0,Simulation,Category,Object,Parameter,Data File
701,REAL_TIME,Generator,126,PMax MW,REAL_TIME_solar.csv
702,DAY_AHEAD,Generator,127,PMin MW,DAY_AHEAD_solar.csv
703,DAY_AHEAD,Generator,127,PMax MW,DAY_AHEAD_solar.csv
704,REAL_TIME,Generator,127,PMin MW,REAL_TIME_solar.csv
705,REAL_TIME,Generator,127,PMax MW,REAL_TIME_solar.csv
714,DAY_AHEAD,Generator,153,PMin MW,DAY_AHEAD_solar.csv
715,DAY_AHEAD,Generator,153,PMax MW,DAY_AHEAD_solar.csv
716,REAL_TIME,Generator,153,PMin MW,REAL_TIME_solar.csv
717,REAL_TIME,Generator,153,PMax MW,REAL_TIME_solar.csv
718,DAY_AHEAD,Generator,154,PMin MW,DAY_AHEAD_solar.csv
719,DAY_AHEAD,Generator,154,PMax MW,DAY_AHEAD_solar.csv
720,REAL_TIME,Generator,154,PMin MW,REAL_TIME_solar.csv
721,REAL_TIME,Generator,154,PMax MW,REAL_TIME_solar.csv
722,DAY_AHEAD,Generator,158,PMin MW,DAY_AHEAD_solar.csv
723,DAY_AHEAD,Generator,158,PMax MW,DAY_AHEAD_solar.csv
724,REAL_TIME,Generator,158,PMin MW,REAL_TIME_solar.csv
725,REAL_TIME,Generator,158,PMax MW,REAL_TIME_solar.csv
734,DAY_AHEAD,Generator,164,PMin MW,DAY_AHEAD_solar.csv
735,DAY_AHEAD,Generator,164,PMax MW,DAY_AHEAD_solar.csv
736,REAL_TIME,Generator,164,PMin MW,REAL_TIME_solar.csv
737,REAL_TIME,Generator,164,PMax MW,REAL_TIME_solar.csv
738,DAY_AHEAD,Generator,167,PMin MW,DAY_AHEAD_solar.csv
739,DAY_AHEAD,Generator,167,PMax MW,DAY_AHEAD_solar.csv
740,REAL_TIME,Generator,167,PMin MW,REAL_TIME_solar.csv
741,REAL_TIME,Generator,167,PMax MW,REAL_TIME_solar.csv
742,DAY_AHEAD,Generator,168,PMin MW,DAY_AHEAD_solar.csv
743,DAY_AHEAD,Generator,168,PMax MW,DAY_AHEAD_solar.csv
744,REAL_TIME,Generator,168,PMin MW,REAL_TIME_solar.csv
745,REAL_TIME,Generator,168,PMax MW,REAL_TIME_solar.csv
746,DAY_AHEAD,Generator,170,PMin MW,DAY_AHEAD_solar.csv
747,DAY_AHEAD,Generator,170,PMax MW,DAY_AHEAD_solar.csv
748,REAL_TIME,Generator,170,PMin MW,REAL_TIME_solar.csv
749,REAL_TIME,Generator,170,PMax MW,REAL_TIME_solar.csv
750,DAY_AHEAD,Generator,172,PMin MW,DAY_AHEAD_solar.csv
751,DAY_AHEAD,Generator,172,PMax MW,DAY_AHEAD_solar.csv
752,REAL_TIME,Generator,172,PMin MW,REAL_TIME_solar.csv
753,REAL_TIME,Generator,172,PMax MW,REAL_TIME_solar.csv
754,DAY_AHEAD,Generator,173,PMin MW,DAY_AHEAD_solar.csv
755,DAY_AHEAD,Generator,173,PMax MW,DAY_AHEAD_solar.csv
756,REAL_TIME,Generator,173,PMin MW,REAL_TIME_solar.csv
757,REAL_TIME,Generator,173,PMax MW,REAL_TIME_solar.csv
758,DAY_AHEAD,Generator,188,PMin MW,DAY_AHEAD_solar.csv
759,DAY_AHEAD,Generator,188,PMax MW,DAY_AHEAD_solar.csv
